,N_muestra,Marca_tiempo,q_pos,q_vel,q_eff,AO_state:,DO_state:
0,0,1711721431.4967885,"[-1.8476967308836074, -1.863803526352973, -1.002631041546447, -1.5797524980900006, -2.473718838000313, 0.902393144281634]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
1,1,1711721432.5064857,"[-1.8476967308836074, -1.863803526352973, -1.002631041546447, -1.5797524980900006, -2.473718838000313, 0.902393144281634]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
2,2,1711721433.5093925,"[-1.8476967308836074, -1.863803526352973, -1.002631041546447, -1.5797524980900006, -2.473718838000313, 0.902393144281634]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
3,3,1711721434.5149362,"[-1.8476967308836074, -1.863803526352973, -1.002631041546447, -1.5797524980900006, -2.473718838000313, 0.902393144281634]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
4,4,1711721435.52009,"[-1.8476967308836074, -1.863803526352973, -1.002631041546447, -1.5797524980900006, -2.473718838000313, 0.902393144281634]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
5,5,1711721436.5259612,"[-1.8476967308836074, -1.863803526352973, -1.002631041546447, -1.5797524980900006, -2.473718838000313, 0.902393144281634]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
6,6,1711721437.5316303,"[-1.8476967308836074, -1.863803526352973, -1.002631041546447, -1.5797524980900006, -2.473718838000313, 0.902393144281634]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
7,7,1711721438.5348048,"[-1.8476967308836074, -1.863803526352973, -1.002631041546447, -1.5797524980900006, -2.473718838000313, 0.902393144281634]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
8,8,1711721439.540084,"[-1.8476967308836074, -1.863803526352973, -1.002631041546447, -1.5797524980900006, -2.473718838000313, 0.902393144281634]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
9,9,1711721440.544387,"[-1.8476967308836074, -1.863803526352973, -1.002631041546447, -1.5797524980900006, -2.473718838000313, 0.902393144281634]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
10,10,1711721441.548843,"[-1.8476967308836074, -1.863803526352973, -1.002631041546447, -1.5797524980900006, -2.473718838000313, 0.902393144281634]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
11,11,1711721442.553005,"[-1.8476967308836074, -1.863803526352973, -1.002631041546447, -1.5797524980900006, -2.473718838000313, 0.902393144281634]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
12,12,1711721443.5580516,"[-1.8476967308836074, -1.863803526352973, -1.002631041546447, -1.5797524980900006, -2.473718838000313, 0.902393144281634]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
13,13,1711721444.561698,"[-1.8476967308836074, -1.863803526352973, -1.002631041546447, -1.5797524980900006, -2.473718838000313, 0.902393144281634]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
14,14,1711721445.565404,"[-1.8476967308836074, -1.863803526352973, -1.002631041546447, -1.5797524980900006, -2.473718838000313, 0.902393144281634]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
15,15,1711721446.5709455,"[-1.8476967308836074, -1.863803526352973, -1.002631041546447, -1.5797524980900006, -2.473718838000313, 0.902393144281634]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
16,16,1711721447.5745356,"[-1.8476967308836074, -1.863803526352973, -1.002631041546447, -1.5797524980900006, -2.473718838000313, 0.902393144281634]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
17,17,1711721448.5794926,"[-1.8476967308836074, -1.863803526352973, -1.002631041546447, -1.5797524980900006, -2.473718838000313, 0.902393144281634]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
18,18,1711721449.5857663,"[-1.8476967308836074, -1.863803526352973, -1.002631041546447, -1.5797524980900006, -2.473718838000313, 0.902393144281634]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
19,19,1711721450.5888326,"[-1.8500993652240156, -1.8652182225912468, -0.985292875181468, -1.5846156039152925, -2.4099619859823758, 0.8726468631879891]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
20,20,1711721451.5917146,"[-1.8620328649959221, -1.872244792116547, -0.8991769811055369, -1.608769871287926, -2.0932919183746757, 0.7249018515247397]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
21,21,1711721452.595307,"[-1.8738716981231351, -1.8792156209309618, -0.8137442313630214, -1.6327325265190307, -1.7791339464093614, 0.5783288786423819]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
22,22,1711721453.5980663,"[-1.8857106616201165, -1.886186526508457, -0.7283105408311902, -1.656695445627984, -1.4649725149222086, 0.4317542916917968]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
23,23,1711721454.600977,"[-1.8976446147172474, -1.8932133629563948, -0.6421913754176105, -1.6808506305636886, -1.148290417773091, 0.28400366754754974]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
24,24,1711721455.6046083,"[-1.909483887552369, -1.9001844506754224, -0.5567554526043078, -1.704814175795424, -0.8341207776186288, 0.1374252507760527]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
25,25,1711721456.6067443,"[-1.921322628419171, -1.9071552251659427, -0.47132336864196506, -1.7287766442847856, -0.51996525389652, -0.009146579858402218]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
26,26,1711721457.6110702,"[-1.9332560920258952, -1.9141817733968032, -0.38520773554538495, -1.752930838456473, -0.2032961459763366, -0.15689114377158642]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
27,27,1711721458.6146355,"[-1.9414031690793943, -1.9189788576083593, -0.32641586074105766, -1.7694211121579788, 0.012896546079489882, -0.2577576135664745]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
28,28,1711721459.6178057,"[-1.9414031690793943, -1.9189788576083593, -0.32641586074105766, -1.7694211121579788, 0.012896546079489882, -0.2577576135664745]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
29,29,1711721460.6240811,"[-1.9414031690793943, -1.9189788576083593, -0.32641586074105766, -1.7694211121579788, 0.012896546079489882, -0.2577576135664745]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
30,30,1711721461.628152,"[-1.9414031690793943, -1.9189788576083593, -0.32641586074105766, -1.7694211121579788, 0.012896546079489882, -0.2577576135664745]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
31,31,1711721462.634059,"[-1.9342968150749884, -1.8720279692664101, -0.38764197914266874, -1.7841758870441906, -0.014855390710525199, -0.227712969038788]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
32,32,1711721463.6371539,"[-1.8978324216816773, -1.631111788957224, -0.7018077617588686, -1.8598861479666051, -0.15725718210876857, -0.07354674867591478]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
33,33,1711721464.640433,"[-1.8729304715947601, -1.4665873820246622, -0.9163551574427073, -1.9115895485476024, -0.25450498939951416, 0.031735121315899256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
34,34,1711721465.6467535,"[-1.8729304715947601, -1.4665873820246622, -0.9163551574427073, -1.9115895485476024, -0.25450498939951416, 0.031735121315899256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
35,35,1711721466.6524405,"[-1.8729304715947601, -1.4665873820246622, -0.9163551574427073, -1.9115895485476024, -0.25450498939951416, 0.031735121315899256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
36,36,1711721467.6571162,"[-1.8729304715947601, -1.4665873820246622, -0.9163551574427073, -1.9115895485476024, -0.25450498939951416, 0.031735121315899256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
37,37,1711721468.6601405,"[-1.8729304715947601, -1.4665873820246622, -0.9163551574427073, -1.9115895485476024, -0.25450498939951416, 0.031735121315899256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
38,38,1711721469.664008,"[-1.8729304715947601, -1.4665873820246622, -0.9163551574427073, -1.9115895485476024, -0.25450498939951416, 0.031735121315899256]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
39,39,1711721470.667341,"[-1.8723206544278501, -1.4753077679001, -0.9071052479041466, -1.9092096563529553, -0.2500533539305199, 0.026899867576911554]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
40,40,1711721471.6714947,"[-1.8524899670596109, -1.7588866099035656, -0.6063067886329706, -1.8318177745840487, -0.10529030681873636, -0.13033808905493366]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
41,41,1711721472.6748033,"[-1.8350066496295692, -2.0088980602949054, -0.34111401703350397, -1.7635868146405587, 0.022337054643739196, -0.2689636977793586]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
42,42,1711721473.6782494,"[-1.8350066044090196, -2.0088987069487727, -0.3411133311131925, -1.7635866381613863, 0.022337384751528196, -0.26896405633408094]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
43,43,1711721474.6816392,"[-1.8350066044090196, -2.0088987069487727, -0.3411133311131925, -1.7635866381613863, 0.022337384751528196, -0.26896405633408094]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
44,44,1711721475.6852515,"[-1.8350066044090196, -2.0088987069487727, -0.3411133311131925, -1.7635866381613863, 0.022337384751528196, -0.26896405633408094]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
45,45,1711721476.692092,"[-1.8350066044090196, -2.0088987069487727, -0.3411133311131925, -1.7635866381613863, 0.022337384751528196, -0.26896405633408094]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
46,46,1711721477.695602,"[-1.8350066044090196, -2.0088987069487727, -0.3411133311131925, -1.7635866381613863, 0.022337384751528196, -0.26896405633408094]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
47,47,1711721478.698386,"[-1.835356171637215, -1.883499859225144, -0.4877964588258386, -1.7899175455207061, -0.0397550546570044, -0.20645092827119813]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
48,48,1711721479.702821,"[-1.8361048758999652, -1.614920186241394, -0.8019628741355133, -1.846313171288478, -0.1727448498093616, -0.07256010074681808]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
49,49,1711721480.7069821,"[-1.8368595751730863, -1.3441899472663617, -1.1186448767227437, -1.9031603670261057, -0.306799518291353, 0.06240281483627365]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
50,50,1711721481.7129745,"[-1.8376141851809784, -1.0734917300483977, -1.4352894224148993, -1.9600008389226924, -0.4408383308939113, 0.19734976711318858]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,True
