,N_muestra,Marca_tiempo,AO_state:
0,0,17:54:49:2.29362,0.004000000189989805
1,1,17:54:50:2.29749,0.004000000189989805
2,2,17:54:51:2.29131,0.004000000189989805
3,3,17:54:52:2.29386,0.004000000189989805
4,4,17:54:53:2.29554,0.004000000189989805
5,5,17:54:54:2.29296,0.004000000189989805
6,6,17:54:55:2.29440,0.004000000189989805
7,7,17:54:56:2.29367,0.004000000189989805
8,8,17:54:57:2.28963,0.004000000189989805
9,9,17:54:58:2.29395,0.004000000189989805
10,10,17:54:59:2.29251,0.004000000189989805
11,11,17:55:00:2.29293,0.004000000189989805
12,12,17:55:01:2.29104,0.004000000189989805
13,13,17:55:02:2.29292,0.004000000189989805
14,14,17:55:03:2.29192,0.004000000189989805
15,15,17:55:04:2.28910,0.004000000189989805
16,16,17:55:05:2.29058,0.004000000189989805
17,17,17:55:06:2.29201,0.004000000189989805
18,18,17:55:07:2.29798,0.004000000189989805
19,19,17:55:08:2.29781,0.004000000189989805
20,20,17:55:09:2.29811,0.004000000189989805
21,21,17:55:10:2.29138,0.004000000189989805
22,22,17:55:11:2.28616,0.004000000189989805
23,23,17:55:12:2.29117,0.004000000189989805
24,24,17:55:13:2.29158,0.004000000189989805
25,25,17:55:14:2.29353,0.004000000189989805
26,26,17:55:15:2.29362,0.004000000189989805
27,27,17:55:16:2.29723,0.004000000189989805
28,28,17:55:17:2.29381,0.004000000189989805
29,29,17:55:18:2.28739,0.004000000189989805
30,30,17:55:19:2.29214,0.004000000189989805
31,31,17:55:20:2.28932,0.004000000189989805
32,32,17:55:21:2.29866,0.004000000189989805
33,33,17:55:22:2.29985,0.004000000189989805
34,34,17:55:23:2.28651,0.004000000189989805
35,35,17:55:24:2.29347,0.004000000189989805
36,36,17:55:25:2.29206,0.004000000189989805
37,37,17:55:26:2.29055,0.004000000189989805
38,38,17:55:27:2.29102,0.004000000189989805
39,39,17:55:28:2.29692,0.004000000189989805
40,40,17:55:29:2.29298,0.004000000189989805
41,41,17:55:30:2.29516,0.004000000189989805
42,42,17:55:31:2.29150,0.004000000189989805
43,43,17:55:32:2.29040,0.004000000189989805
44,44,17:55:33:2.29546,0.004000000189989805
45,45,17:55:34:2.29695,0.004000000189989805
46,46,17:55:35:2.28973,0.004000000189989805
47,47,17:55:36:2.28815,0.004000000189989805
48,48,17:55:37:2.28930,0.004000000189989805
49,49,17:55:38:2.28971,0.004000000189989805
50,50,17:55:39:2.29162,0.004000000189989805
